NO;DATE;GULAPASIRLOKAL
266;07/01/2019;11800
267;08/01/2019;11750
268;09/01/2019;11750
269;10/01/2019;11750
270;11/01/2019;11800
271;14/01/2019;11750
272;15/01/2019;11750
273;16/01/2019;11750
274;17/01/2019;11800
275;18/01/2019;11800
276;21/01/2019;11800
277;22/01/2019;11800
278;23/01/2019;11750
279;24/01/2019;11750
280;25/01/2019;11750
281;28/01/2019;11750
282;29/01/2019;11750
283;30/01/2019;11750
284;31/01/2019;11750
285;01/02/2019;11750
286;04/02/2019;11750
287;05/02/2019;10550
288;06/02/2019;11750
289;07/02/2019;11750
290;08/02/2019;11750
291;11/02/2019;11750
292;12/02/2019;11750
293;13/02/2019;11750
294;14/02/2019;11750
295;15/02/2019;11750
296;18/02/2019;11750
297;19/02/2019;11750
298;20/02/2019;11750
299;21/02/2019;11800
300;22/02/2019;11800
301;25/02/2019;11850
302;26/02/2019;11900
303;27/02/2019;11900
304;28/02/2019;11900
305;01/03/2019;11900
306;04/03/2019;11950
307;05/03/2019;11950
308;06/03/2019;11950
309;07/03/2019;11750
310;08/03/2019;11950
311;11/03/2019;12000
312;12/03/2019;12000
313;13/03/2019;12000
314;14/03/2019;12050
315;15/03/2019;12000
316;18/03/2019;12050
317;19/03/2019;12050
318;20/03/2019;12000
319;21/03/2019;12050
320;22/03/2019;12050
321;25/03/2019;12050
322;26/03/2019;12050
323;27/03/2019;12050
324;28/03/2019;12050
325;29/03/2019;12050
326;01/04/2019;12100
327;02/04/2019;12100
328;03/04/2019;12950
329;04/04/2019;12100
330;05/04/2019;12100
331;08/04/2019;12100
332;09/04/2019;12100
333;10/04/2019;12100
334;11/04/2019;12100
335;12/04/2019;12100
336;15/04/2019;12150
337;16/04/2019;12150
338;17/04/2019;12350
339;18/04/2019;12150
340;19/04/2019;11000
341;22/04/2019;12150
342;23/04/2019;12150
343;24/04/2019;12150
344;25/04/2019;12150
345;26/04/2019;12200
346;29/04/2019;12300
347;30/04/2019;12400
348;01/05/2019;12850
349;02/05/2019;12500
350;03/05/2019;12550
351;06/05/2019;12700
352;07/05/2019;12750
353;08/05/2019;12750
354;09/05/2019;12800
355;10/05/2019;12800
356;13/05/2019;12850
357;14/05/2019;12900
358;15/05/2019;12900
359;16/05/2019;12900
360;17/05/2019;12900
361;20/05/2019;12950
362;21/05/2019;12950
363;22/05/2019;12950
364;23/05/2019;13000
365;24/05/2019;13000
366;27/05/2019;13000
367;28/05/2019;13000
368;29/05/2019;13000
369;30/05/2019;12500
